x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,y
2.1535,-1.6903,-0.4681,-1.3801,0.5261,0.6524,0.4461,1.378,0.84,0.3383,0.9328
0.002,-1.358,-1.6565,0.3377,1.6204,-0.1429,0.0662,2.1543,-1.2371,1.4123,5.132
-1.4928,0.2528,0.1573,-1.3983,-1.6828,-0.616,0.3976,-0.325,0.9715,0.8836,2.9817
-1.6369,-1.2366,0.2997,-0.343,1.2922,-1.4408,1.3147,-0.1621,0.9177,-0.7189,1.6771
-0.8158,0.8657,1.2387,0.793,-1.0504,-0.144,1.6968,-0.9227,-0.8697,0.2698,2.5119
-1.1703,0.8295,-0.5341,-1.2022,-1.0359,0.1955,-0.4219,2.3151,-0.7623,0.9246,1.6739
-0.5946,-0.7873,0.5715,-0.3441,0.6772,-1.838,0.4321,-0.0763,-0.9165,-2.0021,0.5375
0.9013,-0.4759,-2.8567,0.7016,0.0809,-0.7892,-0.4676,-1.0003,-0.8297,-0.4751,7.9393
0.2123,-1.1624,0.3633,0.7044,-0.9712,1.1127,-0.8061,-0.1099,0.7614,-0.1442,0.283
-1.1435,-1.3403,0.9249,1.4187,-0.1676,0.7051,-1.1257,-0.381,-0.2304,-0.2859,1.2034
-0.945,-0.9325,-0.8275,-1.2537,1.2799,-0.3266,-0.4059,-1.3473,-0.1942,-1.1204,2.2044
-1.5337,0.3942,-1.7371,2.1369,-0.2633,-1.3499,-0.4381,-0.529,-0.165,0.6076,3.3999
0.2915,0.7633,-0.4206,-1.7939,-1.4089,0.4334,-0.8293,0.6771,-1.7989,0.4282,2.5703
1.4856,0.4568,1.9171,1.079,0.8208,-2.0241,0.416,-0.659,-0.2258,-0.4518,4.5804
-1.0394,1.3007,-1.6766,-0.2042,-0.0286,-1.1354,2.421,1.2618,-0.3001,1.4914,3.2001
-1.7142,-1.7702,-1.2768,-0.4126,-0.3821,0.2764,-0.1735,0.0892,0.9163,1.026,1.3963
-1.3523,-0.011,0.5105,-0.9614,0.0489,2.2794,0.297,1.0903,0.5599,1.2717,0.799
-0.1444,-0.7585,0.7671,-0.5429,-0.7097,0.7948,0.0859,-0.8929,0.5578,2.9906,1.1312
-0.223,0.8411,-1.139,-1.0075,1.7534,-0.5129,-0.6713,0.0428,0.0102,2.7633,4.6662
-0.1401,-0.4818,0.6503,-1.2546,1.1081,-0.3428,-1.4867,1.2919,1.5217,0.2504,2.0228
-0.855,1.2663,-0.7632,-0.0262,-1.1043,0.3732,-0.9991,-0.159,0.0026,0.8274,1.9354
0.243,-0.6965,-1.0729,-1.1796,-0.2459,-0.4097,-0.4709,-1.1158,0.607,-2.0932,1.1507
1.0388,-0.2173,1.7644,-0.0931,1.3321,-0.0077,-0.0953,1.1936,0.1484,1.2049,4.923
-1.8029,-0.3025,1.7841,1.1924,-0.7719,-1.6294,-0.3338,-1.3599,0.7834,0.7576,3.8396
-1.0409,-0.242,0.0433,0.5326,0.5232,0.3779,0.1698,-1.0035,-0.3775,0.3245,0.6205
-1.146,-0.7254,-1.1304,0.8523,-0.3235,0.507,0.83,-2.3297,0.4124,0.1029,1.4982
-0.7907,-0.9213,-0.8688,0.0964,-0.6022,-0.8179,1.194,-1.6672,-0.2667,0.6175,0.7
0.4939,0.0948,0.8961,-0.3288,0.1284,0.4906,0.5481,1.3381,-1.8083,1.0834,1.0136
-1.5012,0.5806,-1.5697,-1.7111,-0.9867,0.8815,1.0374,0.4052,-1.1237,-0.433,3.6848
1.0966,1.1068,0.2001,-1.1728,-1.6381,-1.0335,2.5888,-0.9573,-2.2787,-1.11,2.5014
-2.6882,0.2546,-0.1275,-0.2791,-1.5082,1.4754,-0.002,0.7106,-1.8529,-0.5602,2.1706
1.4196,0.6482,0.1992,0.8583,1.332,-0.067,0.3461,1.0414,-0.9169,-0.956,1.9339
1.3015,0.9614,0.5041,0.9182,-1.6666,0.0466,-0.7243,-1.3704,-0.3571,0.273,3.255
-0.6733,2.2848,0.7349,0.0706,1.1389,1.1156,0.7124,1.0421,1.2114,0.4919,1.5016
-0.3496,1.0687,-0.13,-0.0449,-0.496,0.0481,1.2987,0.6174,-0.984,-0.8485,-0.0848
0.1942,0.5234,1.2601,0.3978,1.3616,1.0023,-0.7193,-1.0033,-0.0088,-0.3203,3.0512
1.2786,0.1863,1.6846,0.6405,0.3559,1.9912,0.5083,-1.1989,1.3745,-0.606,2.7363
-0.1201,-2.0921,-0.7632,-0.3653,-0.3497,0.228,0.7858,0.3295,0.0247,-2.2155,0.4846
0.8865,-1.7903,-1.6619,0.3555,0.5406,-0.2175,-1.7757,-0.4569,-0.4151,-0.4859,2.9556
1.9782,-0.1769,-0.4332,0.775,-0.1077,-0.4267,-1.2378,0.5495,-0.1473,-1.1424,0.4968
-1.146,1.5153,1.8374,2.3902,0.3708,-0.3028,0.0008,0.8242,-0.3614,-0.271,3.2301
-0.5539,-0.3594,0.407,-0.3172,-1.8416,-1.696,0.2933,1.0364,0.0931,1.2568,3.6442
0.4602,0.9482,-1.0215,-0.6764,0.8754,0.1146,-1.0992,-0.6033,-0.13,-0.7297,1.9784
0.9612,-1.0659,0.5772,-1.6088,0.083,0.0147,-0.2759,-1.3593,1.7889,-0.3155,0.4758
0.9089,0.6793,-1.8964,0.3547,0.6482,1.2024,0.4955,0.2473,-1.8952,-1.3543,4.332
1.0901,-1.1337,-0.2788,-0.5763,0.3841,1.2706,1.2341,-0.0493,0.4163,0.6087,0.0596
-0.3241,0.3147,0.0964,1.7262,-0.3382,0.3601,-0.8309,-0.5518,0.899,-1.159,0.007
2.1525,0.6268,0.595,0.3568,0.3455,1.47,0.9429,-0.0299,0.2014,-1.1401,0.9489
0.1748,1.2894,0.9129,-0.7154,-0.3339,-0.7164,-1.3528,1.0765,-0.5081,-1.2307,1.2596
-1.292,-0.1597,2.1439,-1.9313,-0.0931,1.2023,0.5965,0.3231,-1.2407,-1.6991,4.4545
-0.1116,-0.9825,-0.5321,0.3785,-0.3833,1.4277,0.3991,-1.2743,0.8238,2.1218,0.6285
-1.0968,1.6335,0.6611,0.1463,0.5551,0.1236,0.8491,-0.2494,0.2366,0.1978,1.1546
-1.6665,0.4574,0.6643,-0.6279,1.0762,-0.2188,2.8653,-0.2713,0.4731,-0.5022,1.6572
0.0304,-0.1765,-0.7954,-0.1617,-0.8831,0.4519,1.3688,-1.6276,-1.078,1.9316,1.4112
0.4889,-0.0412,-0.3181,-0.4621,-1.1288,-0.7985,-1.109,-0.4949,-0.6962,0.2008,1.7189
-0.5338,-0.6408,0.9023,1.3298,0.443,0.1149,-0.403,-0.3964,1.1394,1.0777,0.8632
0.3674,-0.8534,0.8921,1.8684,-0.3702,-0.2792,0.1468,0.2846,-0.98,-0.1152,0.9833
0.5098,0.5426,0.3136,0.0626,0.2207,2.0138,-0.3934,1.0059,-0.8468,-0.5848,0.7111
-0.1761,1.0924,1.1226,0.1583,-0.6804,-0.6898,-1.4769,1.469,0.3805,1.013,1.2663
1.4924,-0.5046,-0.2304,0.4871,0.6962,-1.1579,-0.1289,-1.3991,0.9519,1.2993,0.2551
-0.4622,1.482,-0.206,0.3958,-0.0981,1.1517,0.4911,-0.2427,2.3661,0.976,0.1898
0.3903,0.7649,-0.624,1.4742,0.4545,1.042,-0.0653,0.5276,-2.874,-0.3187,0.3661
1.0848,-0.389,0.0949,0.3096,-0.4068,-0.9183,0.4723,-0.1113,-0.1958,-0.1235,0.3012
3.7314,0.1339,-0.4118,0.1996,0.7872,1.1505,-0.3384,0.142,-0.1712,0.7795,0.9264
0.0221,-0.0399,1.1127,-1.5944,0.5434,0.2524,-0.9128,-0.5148,0.179,1.0612,1.4099
0.5565,-0.2764,2.4099,0.4087,-0.7315,-0.8052,0.0975,1.0231,0.2231,-0.0631,6.2263
1.3518,-0.1891,-0.6206,0.4592,-0.7237,0.4684,-1.0836,0.0031,1.6387,1.5961,0.9481
0.4494,0.1178,2.0999,0.1805,0.4191,1.0207,0.8798,-0.5458,0.4587,-0.2777,4.8229
0.2133,2.0746,1.3948,-0.2362,-0.4809,-0.9854,0.5767,0.3559,0.2691,0.305,2.2265
-2.0671,1.3166,1.3311,-0.0799,-2.0917,1.7913,1.0645,0.0918,-0.251,-0.5719,6.0192
0.9998,0.3609,-0.5645,-0.7823,0.0227,-0.6695,0.064,-0.9935,0.9141,0.4625,-0.0826
-0.311,0.8022,-0.8887,-0.2742,-0.5127,0.2226,1.1653,0.398,0.6567,0.6874,1.1978
-1.3388,-1.0114,-0.647,-0.1606,-1.6968,0.8755,2.1963,-0.1502,0.002,-0.0355,2.5679
0.0249,-1.4922,-1.3158,1.665,-0.5703,-1.0019,-1.6288,0.7983,-0.1585,-2.5535,2.1596
0.7729,0.2047,0.9109,0.0942,-1.4072,-0.318,-1.478,-0.2592,-0.4377,-0.5832,2.5274
-0.685,0.0761,-0.2867,0.6052,0.2658,-1.3608,2.3285,0.8603,0.1058,1.1626,-0.0149
0.4069,-0.4225,-0.6226,-0.809,-0.9339,-1.8261,-1.3832,-0.0108,0.7297,-0.0638,1.5198
0.1084,-1.2332,0.2931,-0.2928,-1.142,-0.1089,-0.642,1.8132,-0.5597,1.2252,0.9744
-0.9428,-0.835,1.0484,-0.2297,-0.8736,-0.2106,-2.0731,1.9703,-1.1773,0.2956,1.3782
0.702,0.2799,-0.3117,0.69,-0.0571,-1.1485,-1.753,0.1874,0.5322,0.9476,0.6504
0.435,0.1299,0.1671,-0.6436,-0.9864,-0.5022,-2.1224,-0.3765,-0.1398,0.0292,1.0437
0.1956,0.5122,-1.2815,-0.7277,-2.7306,-1.3995,0.2611,-0.2365,-2.1597,-0.7315,9.944
-0.2542,-0.6186,-0.6694,2.067,0.3772,-0.2968,-1.7319,0.3946,-1.3484,0.0844,0.5237
1.0112,0.5068,1.0242,-0.287,0.6188,0.6806,-2.0306,0.5074,0.4277,-0.6681,1.169
-1.3694,2.1236,0.3348,1.0473,0.0989,0.2392,0.12,-0.4247,-0.8451,-1.6566,0.5778
1.1168,-0.1733,-0.3419,0.5142,-1.0968,-0.7383,0.0081,1.0156,0.6827,0.8909,1.422
-0.4661,-0.3843,-2.0889,-1.733,0.0249,-0.4213,-0.2022,-0.5644,0.0418,0.6762,4.5506
-0.2115,-1.9347,-0.5466,-2.1406,1.4759,-1.729,-0.2003,-0.4106,-0.824,0.3258,2.4918
0.5812,0.2234,-1.5727,1.1772,0.1302,1.2047,-0.9775,0.9869,0.8625,0.5478,2.4307
-1.6138,-0.76,-1.7418,1.0053,1.2259,-0.6512,-0.9116,1.4392,-0.858,-1.4599,4.2882
-1.0603,-0.7447,0.8594,-2.0841,0.1278,1.0957,1.859,-0.1385,-0.7713,-1.171,0.7904
0.067,-0.7647,0.9581,-1.8316,-0.8466,-0.6834,1.1707,0.6623,0.5728,-0.0527,1.1435
-0.3641,0.3113,0.1958,0.0722,0.2601,-0.5836,-0.5399,2.789,-1.209,-0.536,0.1213
-0.2336,-1.418,-1.2886,0.2951,0.6932,-1.0396,-0.315,-1.1035,-0.3041,0.8612,1.893
-0.4279,-0.0474,2.344,-1.1086,-0.1718,1.0369,-0.6736,1.1275,1.0215,-0.2913,5.1372
-1.292,-0.6716,0.5194,-0.3674,0.8371,0.946,-1.0803,2.0703,2.0302,0.5081,0.7121
0.8406,-1.2309,0.9581,0.5971,-1.1208,-0.7835,-0.6605,0.4204,-2.7562,1.1653,2.0261
0.5333,-2.0957,-0.2061,1.3246,0.4424,-0.6947,1.8219,0.4771,-0.4793,2.1054,0.3916
0.8642,0.0198,1.1006,1.7488,-1.8171,1.0453,-0.68,0.2582,-2.2839,-0.8917,4.1633
-2.5711,-1.8967,0.8797,-0.7106,0.6141,0.9737,-0.2887,0.4977,-0.7427,0.8627,1.4102
-0.0966,-0.0164,-0.5474,0.0394,1.4558,-0.1437,-0.3515,0.2255,0.9114,0.0204,2.8539
-1.3493,-0.9079,0.9513,0.556,0.0394,0.9185,0.4456,0.1463,-0.5712,-0.4957,1.0612
-0.5193,0.5874,1.4016,0.0584,0.1675,-0.498,1.7833,-0.6886,-1.921,-0.8324,2.4074
0.6609,0.4854,1.2135,0.0309,-0.149,0.7297,-2.027,0.3817,-0.3469,-0.7221,1.4563
0.2289,-1.2212,0.1431,-0.2773,0.9706,-1.019,0.6295,-0.4818,-2.0753,-1.2861,1.0569
0.9083,0.055,1.0566,-0.4938,0.1782,-0.4187,0.5386,0.6514,-1.853,1.7484,1.1866
-0.1256,-0.3688,0.7152,0.2874,1.6722,-0.3048,-1.4106,0.7255,0.342,-0.1137,3.323
0.2908,-0.3526,0.9384,1.5817,1.1326,-0.2031,0.2861,-2.4409,1.6067,1.5793,1.9004
0.3805,-0.3102,-0.8376,0.9102,-1.7474,-0.3558,-0.2752,1.0919,0.3521,1.8026,4.0407
0.9364,1.0769,2.2679,0.7029,-0.9313,0.3428,0.4842,-0.0672,-0.0885,-0.2681,6.3936
1.203,-0.0764,-1.6378,-1.3066,0.8717,0.6164,-0.2957,-1.1388,0.1898,-0.8536,3.1296
0.253,-0.9788,-0.0471,-0.7167,0.8564,0.6499,-0.2024,-1.4857,0.5443,0.0534,0.8636
-0.962,0.8791,1.297,-1.0857,-1.3577,-0.169,-0.7416,-0.1883,0.3509,-0.1074,3.9926
-0.3655,-1.2408,0.1572,-2.1758,0.7411,-1.1942,0.1588,0.4987,-0.4783,0.0125,0.2794
-0.0324,1.6748,-0.7184,-0.7253,-0.7579,1.1069,0.3458,-0.6417,-0.7109,0.8488,1.4966
-0.1845,0.6905,-0.0734,1.0386,-1.0437,-0.6787,-0.6626,-0.0305,1.8815,-0.4661,0.475
1.283,0.6705,0.6873,-1.2035,0.6318,-0.2452,0.6519,0.9524,1.1709,-0.0645,0.742
1.7004,-1.5616,-0.0251,0.2304,0.2928,-1.1663,1.6305,-1.0623,1.5298,-1.3303,0.2771
0.7893,0.2503,-0.9758,1.1834,-0.4055,-1.1389,1.2873,0.6599,1.2613,-0.6565,1.0288
-1.7589,-1.3568,-0.0789,-0.6628,-0.1519,0.4593,0.8636,-0.4232,0.0277,-1.7704,-0.5868
0.4058,0.6886,1.7234,1.2411,-0.525,-0.8115,0.2084,1.1772,-0.2599,0.6976,2.7377
-0.9666,0.0505,0.667,0.4507,0.5628,0.3139,1.5816,-2.187,0.8946,-1.5043,0.7484
-1.0184,0.7904,0.2893,0.2308,-0.7562,-1.5048,0.1143,-0.0936,1.1002,1.1233,-0.1634
1.779,0.3424,-1.0577,1.7146,-0.5297,-1.4402,-1.4262,-0.3398,-0.64,0.2564,1.8818
-0.8395,-1.3222,-0.6367,-1.3456,-0.4345,0.7525,0.6636,-1.6099,-0.3337,0.3831,0.6638
-2.3081,-0.567,-0.2807,-0.9405,0.0076,0.9,-1.8789,1.7979,0.3527,0.078,0.272
0.0961,0.4108,0.1767,0.2276,0.842,-1.261,0.4441,0.3967,-1.9927,0.0447,0.9125
0.9114,-0.6129,1.2719,0.8831,0.5228,2.1423,0.3477,-0.7276,-3.1956,-1.124,2.1937
0.2788,-0.427,0.0842,2.1408,-0.3538,2.2021,-1.421,0.9382,0.7089,0.4616,-0.2007
2.0141,-0.2009,-0.8058,0.7832,-0.5111,-1.1713,-0.4413,1.5872,-0.7589,-0.6901,1.2386
0.5109,-0.3348,1.2051,-0.0026,0.4629,2.0563,0.5865,-2.1611,0.2742,0.7474,1.6046
0.2885,-0.1796,-0.1325,0.2808,-0.1941,-1.1823,0.3932,-0.3684,-0.228,-0.3048,-0.2521
0.3724,-0.0679,-0.1918,0.8934,-0.3418,-0.4291,0.1007,-0.5798,-1.2186,-1.2304,0.0565
-0.2767,-0.5876,1.3284,0.1834,-0.4017,0.5974,-0.4127,0.2428,-1.3517,-0.1344,1.8928
-1.8478,-0.1727,0.4207,0.7977,0.6177,1.5663,-0.8968,2.7332,2.1754,-0.4486,0.1605
-1.6814,-1.8641,-0.5589,-0.2735,2.5378,1.7067,0.7024,1.0653,-0.0084,-0.0463,6.6249
-0.9875,-1.0773,0.0397,0.2573,0.6681,0.3354,0.475,0.7219,1.5049,-1.0283,0.7598
-0.0835,1.3136,0.9689,0.708,-0.9718,0.9912,-2.7314,-0.4455,-0.4561,0.2501,1.8675
-1.545,-1.0905,-0.7259,-0.7994,1.3403,-0.7786,-0.6114,1.0125,2.7244,0.3683,1.8127
-0.9553,0.9542,0.6602,-0.0233,0.1893,0.7541,-0.6319,-0.9786,-0.3631,0.4933,0.1289
-0.5097,0.2961,-1.3487,-0.9423,0.2355,-3.0266,-0.0013,0.9725,0.4071,-1.5514,2.0198
-1.0946,1.7703,-0.9579,-0.6322,-0.2706,-0.3976,-0.7062,-0.5977,-1.2891,-0.331,0.9181
-0.9772,0.8493,0.0262,-1.7178,0.7394,-1.2443,0.0513,-1.4026,-0.4799,-1.7486,0.061
-0.7109,-0.8372,-0.4157,0.2715,0.2806,2.1723,1.1826,-0.3867,0.355,1.0489,0.4883
-1.6079,0.9088,1.0763,0.3274,-0.7828,0.0428,-0.7779,0.9965,0.6349,-1.4943,1.561
0.2406,1.8509,0.0284,0.9192,0.8299,-0.743,0.4363,0.4904,0.3556,-2.3803,1.0254
0.2042,0.9468,0.7494,-0.1464,-1.1662,2.3488,-0.0245,0.2146,3.3957,-1.1021,1.805
0.9001,0.893,0.6902,-0.371,-0.1868,0.076,1.5946,-0.061,-1.4525,0.4939,0.374
-0.3757,-1.1882,0.3937,1.5689,0.5007,0.041,0.3494,0.2823,-0.4231,0.4563,0.8489
0.649,0.9922,0.2254,1.5186,-1.3592,0.0893,1.4774,1.1819,-1.918,0.4806,1.9475
-1.2816,0.32,0.9968,-0.0289,-0.6485,1.2279,0.1111,1.3947,0.0969,-1.2616,1.1882
-1.753,1.5405,-0.4269,-0.8575,2.1819,-0.2915,-0.8188,-0.6986,0.6561,-0.9,5.0559
-0.8926,-0.8397,-1.5826,0.5345,-1.8824,2.2196,1.4664,0.1329,0.6993,-0.7264,6.5417
0.5303,-0.6294,-0.3113,0.9723,-1.3091,-1.1375,-0.2756,1.0281,-0.0739,-0.1225,1.7615
-0.3889,0.1131,-0.2063,1.5876,-0.8397,0.9306,1.518,-0.5809,0.0619,-0.8173,0.4344
0.3774,-0.2552,-1.6703,-0.8368,0.0962,0.7283,-0.0726,-0.176,-0.3104,-0.4359,2.7857
-1.4642,0.074,0.8836,-1.7021,0.2179,-0.6591,0.6221,1.5684,0.8405,-0.6022,0.6131
-0.8294,1.1646,-0.4232,0.0942,-0.5645,-0.3688,0.0927,-0.9506,0.7513,-0.5918,0.7981
-0.0896,-1.7995,-0.3899,0.7574,0.1379,0.4741,-0.5911,-0.0991,0.796,-0.4057,-0.1035
1.3321,-0.0681,0.3408,1.5376,0.2416,-1.7714,0.373,-0.0695,1.2964,-0.3286,0.3342
-0.7858,0.2046,-2.0178,-0.4323,0.0447,0.7909,0.7873,2.7301,-2.6384,1.6728,4.0285
-0.8963,0.0411,0.8069,-0.7657,-1.1472,0.1785,1.188,-0.5888,0.2745,0.727,1.3171
-1.9665,0.3636,1.6226,-1.3665,0.4697,0.9208,-0.8329,-2.1576,0.2526,-0.6125,3.0954
-0.7132,-1.4028,0.5136,-1.0088,0.8696,-0.0715,-0.6338,0.811,0.854,0.4917,1.0692
0.1853,-1.2286,-1.6206,-0.9537,-0.375,0.0059,0.5088,-0.3438,-1.5167,-1.2961,2.4949
-1.7386,-1.2621,1.7586,0.1265,1.7397,0.4412,-0.1215,0.2917,1.3908,0.1912,6.1965
0.3715,0.2267,-0.2801,1.5949,-0.6073,-0.1445,0.206,0.6529,1.2377,-1.2692,0.9349
-0.1894,1.6689,0.6482,0.7531,0.7713,0.7875,0.1469,0.0377,0.5405,-0.5274,1.1294
0.6333,0.569,2.2324,-1.0849,-0.7656,0.4608,-0.9697,-0.6744,1.9848,-1.4042,5.4312
-0.9447,-0.4617,-0.0418,2.121,-0.0694,-2.197,0.095,0.9063,1.1707,2.3916,0.336
0.583,0.1412,1.4577,-0.3751,-0.2875,-1.2228,-0.6069,-0.4779,0.9573,0.899,2.1998
0.2277,0.1362,-0.4969,2.3751,-1.9723,-0.7433,1.2355,0.4162,1.7007,0.6258,4.5631
1.3446,0.3165,0.196,-0.5127,1.7748,0.8611,0.111,-0.6018,0.1468,-1.926,3.3383
0.5915,2.2445,1.0275,0.9176,-0.8817,1.0517,2.4487,1.5457,0.5582,-0.7573,1.7923
0.0097,-0.0378,-1.3931,1.0134,-1.0149,-1.8209,-0.5212,0.6749,0.6364,-0.1661,3.254
1.1181,0.6432,1.4079,0.2805,1.438,0.2955,-0.2838,0.1774,0.337,-0.1844,3.7094
-1.1632,1.1249,-0.156,0.7883,0.3667,1.4876,-0.1451,-0.8784,0.8355,1.0832,0.4188
